aud_id,rev_type,gid,methn,gnpgs,gpid1,gpid2,created_by,lgid,glocn,gdate,gref,grplce,mgid,cid,sid,gchange,deleted,germplsm_uuid,modified_by,created_date,modified_date
119,0,60660,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GyGZmbBsx,NULL,2022-07-11 09:58:13,NULL
120,0,60661,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G5X7YxWox,NULL,2022-07-11 09:58:13,NULL
121,0,60662,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GvABCXbIL,NULL,2022-07-11 09:58:13,NULL
122,0,60663,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GhyLOnth8,NULL,2022-07-11 09:58:13,NULL
123,0,60664,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GqwV2WpwH,NULL,2022-07-11 09:58:13,NULL
124,0,60665,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GtzqkmaNq,NULL,2022-07-11 09:58:13,NULL
125,0,60666,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gt2xoOYXM,NULL,2022-07-11 09:58:13,NULL
126,0,60667,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GNMs2CgY5,NULL,2022-07-11 09:58:13,NULL
127,0,60668,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GCyI4EZ6I,NULL,2022-07-11 09:58:13,NULL
128,0,60669,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GoHbb4g09,NULL,2022-07-11 09:58:13,NULL
129,0,60670,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GOztTNAq7,NULL,2022-07-11 09:58:13,NULL
130,0,60671,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GhJRPTUsc,NULL,2022-07-11 09:58:13,NULL
131,0,60672,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GnSHrcmiF,NULL,2022-07-11 09:58:13,NULL
132,0,60673,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GpLV2KPK7,NULL,2022-07-11 09:58:13,NULL
133,0,60674,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GvhOE1uj2,NULL,2022-07-11 09:58:13,NULL
134,0,60675,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Gm0ERT8Ru,NULL,2022-07-11 09:58:13,NULL
135,0,60676,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G2yWD38do,NULL,2022-07-11 09:58:13,NULL
136,0,60677,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GtmvdFa6T,NULL,2022-07-11 09:58:13,NULL
137,0,60678,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GW7QcQCk8,NULL,2022-07-11 09:58:13,NULL
