cvterm_relationship_id,type_id,subject_id,object_id
1610,1225,2260,1080
1620,1225,2270,1080
1630,1225,2280,1080
1631,1225,2285,1080
1640,1225,2290,1310
1650,1225,2300,1310
1660,1225,2305,1310
1670,1225,2310,1310
1680,1225,2320,1310
1690,1225,2325,1310
1700,1225,2330,1310
1710,1225,2340,1310
1720,1225,2350,1310
1730,1225,2360,1310
1740,1225,2370,1310
1750,1225,2380,1310
1760,1225,2390,1310
1770,1225,2400,1310
1780,1225,2403,1310
1790,1225,2405,1085
1800,1225,2410,1085
1810,1225,2420,1085
1820,1225,2430,1085
1830,1225,2440,1085
1840,1225,2450,1300
1850,1225,2451,1080
22042,1225,2451,1300
1860,1225,2452,1300
1870,1225,2460,1300
1880,1225,2470,1320
1890,1225,2475,1300
1900,1225,2477,1320
1910,1225,2478,1320
1920,1225,2480,1320
1930,1225,2481,1320
1940,1225,2482,1320
1950,1225,2490,1320
1955,1225,2495,1320
1960,1225,2500,1085
1970,1225,2510,1085
1980,1225,2515,1085
1990,1225,2520,1085
2000,1225,2530,1085
2010,1225,2540,1085
2020,1225,2550,1290
2030,1225,2560,1290
2040,1225,2570,1320
2050,1225,2580,1320
2060,1225,2590,1320
2070,1225,2600,1345
2080,1225,2610,1260
2090,1225,2620,1260
22045,1225,2620,1530
2100,1225,2630,1260
2110,1225,2640,1260
22041,1225,2640,1530
2120,1225,2650,1260
2130,1225,2655,1087
2140,1225,2657,1260
2150,1225,2660,1270
2160,1225,2670,1270
2170,1225,2680,1270
2166,1225,2690,1085
2167,1225,2700,1085
2168,1225,2710,1085
2169,1225,2720,1085
2178,1225,2730,1085
2171,1225,2740,1085
2172,1225,2750,1085
2173,1225,2760,1085
2174,1225,2770,1085
2175,1225,2780,1085
2176,1225,2790,1085
2177,1225,2800,1300
22056,1105,6000,1110
22057,1105,6010,1120
22063,1105,6014,1130
8890,1190,6014,12951
8891,1190,6014,12952
8892,1190,6014,12953
8893,1190,6014,12954
8894,1190,6014,12955
8895,1190,6014,12956
8896,1190,6014,12957
8897,1190,6014,12958
8898,1190,6014,12959
8899,1190,6014,12961
22079,1105,6015,1136
22074,1105,6016,1132
22059,1105,6020,1120
22070,1105,6025,1120
22066,1105,6030,1120
22159,1105,6035,1110
22160,1105,6036,1110
22068,1105,6040,1110
22075,1105,6041,1110
22076,1105,6042,1110
22095,1105,6045,1110
22061,1105,6050,1130
3000,1190,6050,3013
22060,1105,6060,1117
22093,1105,6064,1110
22086,1105,6065,1110
22087,1105,6066,1110
22088,1105,6067,1110
22058,1105,6070,1130
8714,1190,6070,12960
8715,1190,6070,12970
8716,1190,6070,12980
8717,1190,6070,12990
22067,1105,6080,1130
10040,1190,6080,10040
10050,1190,6080,10050
22161,1105,6084,1110
22098,1105,6085,1110
22077,1105,6086,1110
22082,1105,6087,1110
22083,1105,6088,1110
22162,1105,6089,1110
22081,1105,6090,1110
22163,1105,6095,1110
22085,1105,6100,1110
22084,1105,6105,1110
22090,1105,6110,1120
22164,1105,6115,1110
22165,1105,6120,1110
22166,1105,6130,1110
22099,1105,6140,1110
22109,1105,6150,1130
22108,1105,6160,1110
22107,1105,6170,1110
22106,1105,6180,1110
22105,1105,6190,1110
8041,1200,8008,2040
8043,1210,8008,4030
8045,1220,8008,6060
8004,1220,8010,1902
8000,1200,8010,2002
8002,1210,8010,4030
8015,1220,8021,1901
8011,1200,8021,2002
8013,1210,8021,4030
8030,1200,8040,2000
8032,1210,8040,4030
8034,1220,8040,6020
9296,1200,8045,2000
9297,1210,8045,4030
9298,1220,8045,6050
2546,1225,8048,1630
2547,1225,8049,1630
8867,1200,8065,2105
8868,1210,8065,4030
8869,1220,8065,25706
8887,1200,8066,2105
8888,1210,8066,4030
8889,1220,8066,6014
8688,1200,8071,2010
8689,1210,8071,4030
8690,1220,8071,25708
8070,1200,8080,2070
8072,1210,8080,4010
8074,1220,8080,6020
8080,1200,8090,2070
8082,1210,8090,4010
8084,1220,8090,6040
8094,1220,8100,1902
8090,1200,8100,2080
8092,1210,8100,4030
8104,1220,8110,1901
8100,1200,8110,2080
8102,1210,8110,4030
19306,1200,8115,2080
19307,1210,8115,4030
19308,1220,8115,6030
23710,1220,8116,1911
23708,1200,8116,2080
23709,1210,8116,4030
23713,1220,8117,1912
23711,1200,8117,2080
23712,1210,8117,4030
23716,1220,8118,1913
23714,1200,8118,2080
23715,1210,8118,4030
23719,1220,8119,1914
23717,1200,8119,2080
23718,1210,8119,4030
8110,1200,8120,2090
8112,1210,8120,4030
8114,1220,8120,6080
8120,1200,8130,2090
8122,1210,8130,4030
8124,1220,8130,6060
8930,1200,8131,2141
8931,1210,8131,4030
8932,1220,8131,6040
8936,1200,8132,2142
8937,1210,8132,4030
8938,1220,8132,6040
8942,1200,8133,2143
8943,1210,8133,4030
8944,1220,8133,25709
8951,1200,8134,2144
8952,1210,8134,4030
8953,1220,8134,6025
8125,1200,8135,2140
8127,1210,8135,4030
8129,1220,8135,25710
8957,1200,8136,2145
8958,1210,8136,4030
8959,1220,8136,6040
8963,1200,8137,2146
8964,1210,8137,4030
8965,1220,8137,6040
8969,1200,8138,2147
8970,1210,8138,4030
8971,1220,8138,6040
8975,1200,8139,2148
8976,1210,8139,4030
8977,1220,8139,6040
8134,1220,8140,1905
8130,1200,8140,2020
8132,1210,8140,4030
8987,1200,8142,2151
8988,1210,8142,4030
8989,1220,8142,6040
9006,1200,8146,2152
9007,1210,8146,4030
9008,1220,8146,25711
8144,1220,8150,1906
8140,1200,8150,2020
8142,1210,8150,4030
8141,1200,8155,2030
8143,1210,8155,4030
8145,1220,8155,6020
22386,1200,8165,2140
