locid,llpn,lat,lon,alt,llsource,ll_fmt,ll_datum,ll_uncert,llref,lldate,lluid
1069,1,34.666667,5.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1070,1,36.583333,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1071,1,36.25,3.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1072,1,34.333333,3.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1073,1,36.416667,7.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1074,1,36.75,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1075,1,33.583333,2.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1076,1,35.416667,0.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1077,1,35.333333,4.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1078,1,35.833333,7.083333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1079,1,34.833333,-0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1080,1,36.75,6.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1081,1,35,7.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1082,1,25.75,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1083,1,36.166667,2.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1084,1,35.333333,-1.083333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1085,1,36.833333,7.583333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1086,1,30.25,-3.083333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1087,1,36.083333,4.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1088,1,36.75,3.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1089,1,36.25,1.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1090,1,32.5,1.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1091,1,33.166667,7.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1092,1,36.75,8.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1093,1,31.083333,3.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1094,1,26.833333,8.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1095,1,35,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1096,1,36.416667,6.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1097,1,33.25,0.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1098,1,30.5,6.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1099,1,35.75,0.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1100,1,36.166667,7.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1101,1,23.75,4.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1102,1,27.416667,-5.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1103,1,36.583333,2.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
