HH_Id,Num_Plots_CropGrown,Plot_Id,Plot_Area,Plot_Dist_WalkMin,Plot_Locn_Name,PrimaryCrop_Seasn1,PrimaryCrop_Seasn1_Othr,PrimaryCrop_Seasn2,PrimaryCrop_Seasn2_Othr,Plot_Slope,Plot_Soil_Type,Plot_Soil_Fert,Erosion_Yn,Soil_Salinity_Yn,Soil_Acidity_Yn,WaterLogging_Yn,Plot_Tenure_Stat,Plot_Tenure_Stat_Othr,PlotOwn_Inherited_Yn,Plot_SelfManage_10Yrs,Land_Title_FamMemb,LandTitle_Holder,Plot_Manager,Plot_Irrgn_Yn,Plot_Irrgn_Src,Plot_Irrgn_Src_Othr,SoilWater_Consrvn_Str,Plot_Chem_Herbicides_Yn,Plot_Intercropping_Yn,Add_Plot
561,9,6,2,42,BIRBIRSA,19, ,97, ,2,2,2,0,0,0,0,2, ,,0,0,,1,0,, ,1,1,0,1
561,9,7,1,50,SAMA MADO,2, ,97, ,2,2,2,0,0,0,0,2, ,,0,0,,1,0,, ,0,1,0,1
561,9,8,2,58,TACHE AMBA,2, ,97, ,1,2,2,0,0,0,0,2, ,,0,0,,1,0,, ,1,1,0,1
563,8,1,2.5,5,Tekula  gure,2, ,97, ,2,1,2,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,1,0,1
563,8,2,2,5,Ketena 1,2, ,97, ,2,1,3,1,0,0,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
563,8,3,2,20,Daliti,2, ,97, ,1,2,2,0,0,0,0,4,Temporary Free Land,,0,0,,1,0,, ,0,1,0,1
563,8,4,2,15,Daliti,99,BARLEY,97, ,1,1,1,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,1,0,1
563,8,5,1,5,Ketena 2,99,BARLEY,97, ,2,2,2,0,0,0,0,1, ,0,1,0,,3,0,, ,0,1,0,1
563,8,6,1,20,Kubshe,19, ,97, ,1,1,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,1,0,1
563,8,7,1,10,Merere,19, ,97, ,1,2,2,0,0,0,1,2, ,,0,0,,3,0,, ,0,1,0,1
563,8,8,0.25,15,Woyra Minch,2, ,97, ,1,1,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,1,0,2
564,8,1,1,7,AROHA,99,BARLEY,97, ,1,2,2,0,0,0,0,1, ,0,1,1,3,1,0,, ,0,1,0,1
564,8,2,2,12,MOLANE,99,BEAN,97, ,1,2,2,0,0,0,0,1, ,0,1,1,3,1,0,, ,0,1,0,1
564,8,3,2,17,MATE MERERE,99,BEAN,97, ,1,2,2,1,0,0,0,1, ,0,1,1,3,1,0,, ,0,1,0,1
564,8,4,1,25,TACH AMBA,2, ,97, ,1,2,2,0,0,0,0,1, ,0,1,1,3,1,0,, ,0,1,0,1
564,8,5,1,8,AROHA,99,BEAN,97, ,1,2,2,0,0,0,0,2, ,,0,0,,1,0,, ,0,1,0,1
564,8,6,1,25,SAMA,19, ,97, ,1,2,2,0,0,0,0,2, ,,0,0,,1,0,, ,0,1,0,1
564,8,7,1,42,SANCHAYE,19, ,97, ,1,2,2,0,0,0,0,2, ,,0,0,,1,0,, ,0,1,0,1
564,8,8,1,20,SAMA,2, ,97, ,1,2,2,0,0,0,0,2, ,,0,0,,1,0,, ,0,1,0,2
565,5,1,1,0,GORO 1,2, ,97, ,1,1,1,1,0,0,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
565,5,2,1,30,CHEFE FEDA,2, ,97, ,2,1,2,1,0,0,1,1, ,0,1,1,3,3,0,, ,1,1,0,1
565,5,3,1,0,GORO,19, ,97, ,1,1,2,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,1,0,1
565,5,4,1,0,GORO 3,5, ,97, ,1,1,2,0,0,0,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
565,5,5,1,30,MEKINAMENGED,5, ,97, ,1,1,3,1,0,0,1,1, ,0,1,1,3,3,0,, ,0,0,0,2
567,11,1,4,5,FEFA,99,BARLEY,97, ,1,1,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
567,11,2,2,20,WOBI,19, ,97, ,1,2,2,1,0,0,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
567,11,3,2,25,WOBI,2, ,97, ,1,1,2,0,0,0,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
567,11,4,1.5,0,GUARO,2, ,97, ,2,1,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
567,11,5,2,0,GUARO,19, ,97, ,2,1,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
567,11,6,4,30,MEKEGN,99,BARLEY,15, ,1,1,2,0,0,0,0,3, ,,0,0,,3,2,2, ,1,1,0,1
