HH_Id,Region,Zone,District,PA,Village,HHH_Name,HHH_Sex,HHH_Age,HHH_Edcn,Intro_Study,Consent_Resp,HH_Replacement,New_HH_Id,Wheat_Cult,GPS,GPS_Lat,GPS_Long,Interview_Date,Supervisor,Enumerator_Name,MHH_FHH,MHH_Name,FHH_Name,MHH_Phone,FHH_Phone,Respondent_Othr,Respondent_Name,Respondent_Phone,HH_Intvw_LastRound_Yn,Num_HH_Memb,Num_HH_Boys,Num_HH_Girl,Num_Boys_AttndSchool,Num_Girl_AttndSchool,Total_Num_OM,Num_OM_Work,Num_OM_Study,Num_OM_Other,Main_Language,Language_Othr,MHH_Relgn,MHH_Relgn_Othr,FHH_Relgn,FHH_Relgn_Othr,Num_HH_AdultMemb
969,AMHARA,NORTH SHOA,MENZ GERA MEDER,014 KUREYA,Mariyam Teya,Removed,Male,44,5,1,1,,1,1,1,10.38,39.64,08082021,3,37,1,Removed,Removed,0,0,0, ,,1,3,2,1,1,0,2,2,0,0,2, ,1, ,1, ,3
971,AMHARA,NORTH SHOA,MENZ GERA MEDER,014 KUREYA,Godeda,Removed,Male,44,9,1,1,,1,1,1,10.36,39.65,08082021,3,3,1,Removed,Removed,Removed,0,0, ,,1,2,2,1,1,1,0,,,,2, ,1, ,1, ,2
973,AMHARA,NORTH SHOA,MENZ GERA MEDER,014 KUREYA,Tingamba,Removed,Male,36,None/Illiterate,1,1,,1,1,1,10.38,39.64,08082021,3,34,1,Removed,Removed,0,0,0, ,,1,3,1,1,0,1,0,,,,2, ,1, ,1, ,3
1047,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Brige,Removed,Male,38,None/Illiterate,1,1,,1,1,1,10.94,38.07,22072021,3,33,1,Removed,Removed,Removed,0,0, ,,1,3,2,1,0,1,0,,,,2, ,1, ,1, ,3
1048,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Brige,Removed,Male,78,None/Illiterate,1,1,,1,1,1,10.95,38.05,22072021,3,34,1,Removed,Removed,0,0,0, ,,1,5,0,1,,1,0,,,,2, ,1, ,1, ,5
1049,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Birj,Removed,Male,76,None/Illiterate,1,1,,1,1,1,10.94,38.07,22072021,3,37,1,Removed,Removed,0,0,0, ,,1,5,2,3,1,1,0,,,,2, ,1, ,1, ,5
1050,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Wedemo,Removed,Male,57,2,1,1,,1,1,1,10.95,38.08,22072021,3,33,1,Removed,Removed,Removed,0,0, ,,1,4,0,0,,,0,,,,2, ,1, ,1, ,4
1051,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Tetere,Removed,Male,46,5,1,1,,1,1,1,10.96,38.08,22072021,3,36,1,Removed,Removed,Removed,0,0, ,,1,4,3,0,2,,0,,,,2, ,1, ,1, ,4
1052,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Koso Bate,Removed,Male,74,None/Illiterate,1,1,,1,1,1,10.93,38.11,23072021,3,34,1,Removed,Removed,Removed,0,0, ,,1,2,0,0,,,0,,,,2, ,1, ,1, ,2
1055,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,AKALU,Removed,Male,47,None/Illiterate,1,1,,1,1,1,10.93,38.10,23072021,3,34,1,Removed,Removed,0,0,0, ,,1,4,1,2,0,0,0,,,,2, ,1, ,1, ,4
1056,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,TAOL WUDMO,Removed,Female,51,None/Illiterate,1,1,,1,1,1,10.94,38.07,22072021,3,31,2, ,Removed,Removed,Removed,0, ,,1,2,0,0,,,0,,,,2, ,, ,1, ,2
1057,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Tefer,Removed,Male,61,None/Illiterate,1,1,,1,1,1,10.96,38.08,21072021,3,33,1,Removed,Removed,0,0,0, ,,1,3,0,0,,,0,,,,2, ,1, ,1, ,3
1058,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Manouroue,Removed,Male,36,None/Illiterate,1,1,,1,1,1,10.94,38.08,23072021,3,31,1,Removed,Removed,Removed,0,0, ,,1,4,1,0,1,,0,,,,2, ,1, ,1, ,4
1059,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Brige,Removed,Male,35,None/Illiterate,1,1,,1,1,1,10.94,38.07,22072021,3,3,1,Removed,Removed,0,0,0, ,,1,2,1,2,1,1,0,,,,2, ,1, ,1, ,2
1060,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,GINDE WEYIN BEZA,Kolobet,Removed,Male,48,None/Illiterate,1,1,,1,1,1,10.94,38.10,23072021,3,36,1,Removed,Removed,0,0,0, ,,1,5,0,0,,,0,,,,2, ,1, ,1, ,5
1117,AMHARA,EAST   GOJAM,HULETEJ ENESE,ADDIS ALEM,Merre(Mender 8),Removed,Male,42,Adult education or 1 year of education,1,1,,1,1,1,10.91,37.85,26072021,3,31,1,Removed,Removed,Removed,0,0, ,,1,2,2,2,1,1,0,,,,2, ,1, ,1, ,2
1118,AMHARA,EAST   GOJAM,HULETEJ ENESE,ADDIS ALEM,Kashen(lemilem tsed),Removed,Female,41,None/Illiterate,1,1,,1,1,1,10.92,37.85,25072021,3,33,2, ,Removed,Removed,0,0, ,,1,3,0,1,,0,0,,,,2, ,, ,1, ,3
1120,AMHARA,EAST   GOJAM,HULETEJ ENESE,ADDIS ALEM,Lemilem Tsid,Removed,Male,43,10,1,1,,1,1,1,10.91,37.85,26072021,3,31,1,Removed,Removed,0,0,0, ,,1,3,1,1,0,0,0,,,,2, ,1, ,1, ,3
1121,AMHARA,EAST   GOJAM,HULETEJ ENESE,ADDIS ALEM,Mender -6,Removed,Male,41,None/Illiterate,1,1,,1,1,1,10.91,37.86,26072021,3,37,1,Removed,Removed,0,0,0, ,,1,3,2,1,1,0,0,,,,2, ,1, ,1, ,3
1122,AMHARA,EAST   GOJAM,HULETEJ ENESE,ADDIS ALEM,MEnder-8(Meri Shebba),Removed,Male,38,10,1,1,,1,1,1,10.91,37.85,26072021,3,36,1,Removed,Removed,Removed,0,0, ,,1,4,3,0,1,,0,,,,2, ,1, ,1, ,4
1124,AMHARA,EAST   GOJAM,HULETEJ ENESE,ADDIS ALEM,Lemilem Tsid,Removed,Female,36,None/Illiterate,1,1,,1,1,1,10.93,37.88,26072021,3,34,2, ,Removed,Removed,0,0, ,,1,2,1,1,1,1,0,,,,2, ,, ,1, ,2
