HH_Id,Info_Src_Name_M,Info_Access_Yn_M,NoInfo_Access_Rsn_M,NoInfo_Access_Rsn_Othr_M,Info_Access_Decision_M
1954,3,1,, ,2
1954,4,3,1, ,
1954,5,3,2, ,
1954,6,3,3, ,
1955,1,1,, ,2
1955,2,1,, ,2
1955,3,1,, ,2
1955,4,3,1, ,
1955,5,3,2, ,
1955,6,3,3, ,
1957,1,1,, ,1
1957,2,1,, ,1
1957,3,99,, ,
1957,4,99,, ,
1957,5,99,, ,
1957,6,99,, ,
1960,1,3,1, ,
1960,2,3,1, ,
1960,3,3,1, ,
1960,4,3,1, ,
1960,5,3,1, ,
1960,6,3,1, ,
1961,1,3,1, ,
1961,2,3,1, ,
1961,3,3,1, ,
1961,4,3,1, ,
1961,5,3,1, ,
1961,6,3,1, ,
1962,1,1,, ,1
1962,2,1,, ,1
1962,3,1,, ,1
1962,4,3,1, ,
1962,5,3,3, ,
1962,6,3,1, ,
1963,1,1,, ,2
1963,2,1,, ,2
1963,3,1,, ,2
1963,4,3,2, ,
1963,5,3,2, ,
1963,6,3,3, ,
1965,,,, ,
1966,,,, ,
1967,1,1,, ,1
1967,2,3,6, ,
1967,3,3,2, ,
1967,4,3,2, ,
1967,5,3,2, ,
1967,6,3,2, ,
1968,1,1,, ,1
1968,2,3,1, ,
1968,3,2,, ,5
1968,4,3,2, ,
1968,5,3,1, ,
1968,6,3,2, ,
1969,1,1,, ,1
1969,2,3,1, ,
1969,3,2,, ,1
1969,4,3,1, ,
1969,5,2,, ,1
1969,6,3,1, ,
1975,,,, ,
1976,1,3,3, ,
1976,2,3,1, ,
1976,3,1,, ,2
1976,4,3,2, ,
1976,5,3,2, ,
1976,6,3,3, ,
1978,1,1,, ,5
1978,2,2,, ,5
1978,3,1,, ,5
1978,4,3,1, ,
1978,5,2,, ,5
1978,6,3,1, ,
1980,1,1,, ,2
1980,2,1,, ,2
1980,3,1,, ,2
1980,4,3,2, ,
1980,5,3,3, ,
1980,6,3,3, ,
1991,1,1,, ,5
1991,2,3,3, ,
1991,3,1,, ,1
1991,4,3,2, ,
1991,5,3,2, ,
1991,6,3,5, ,
1992,1,1,, ,1
1992,2,1,, ,1
1992,3,1,, ,1
1992,4,3,1, ,
1992,5,1,, ,1
1992,6,2,, ,1
1993,1,1,, ,5
1993,2,2,, ,5
1993,3,1,, ,5
1993,4,99,, ,
1993,5,99,, ,
1993,6,3,5, ,
1994,1,1,, ,1
1994,2,1,, ,1
1994,3,1,, ,1
1994,4,3,1, ,
1994,5,1,, ,1
1994,6,3,1, ,
1995,1,1,, ,1
1995,2,3,2, ,
1995,3,3,1, ,
1995,4,3,2, ,
1995,5,3,2, ,
1995,6,2,, ,5
1996,1,1,, ,1
1996,2,1,, ,1
1996,3,1,, ,1
1996,4,1,, ,1
1996,5,1,, ,1
1996,6,1,, ,1
1997,1,2,, ,1
1997,2,2,, ,1
1997,3,2,, ,1
1997,4,3,1, ,
1997,5,3,1, ,
1997,6,3,1, ,
1999,1,2,, ,1
1999,2,3,1, ,
1999,3,2,, ,1
1999,4,3,1, ,
1999,5,3,1, ,
1999,6,3,1, ,
2000,1,1,, ,2
2000,2,3,3, ,
2000,3,1,, ,1
2000,4,3,3, ,
2000,5,3,3, ,
2000,6,3,3, ,
2020,1,1,, ,1
2020,2,1,, ,1
2020,3,3,1, ,
2020,4,3,1, ,
2020,5,1,, ,1
2020,6,2,, ,1
2021,1,1,, ,1
2021,2,2,, ,1
2021,3,1,, ,1
2021,4,3,2, ,
2021,5,3,2, ,
2021,6,2,, ,1
2023,1,1,, ,2
2023,2,3,2, ,
2023,3,1,, ,1
2023,4,3,2, ,
2023,5,3,2, ,
2023,6,3,3, ,
2025,1,1,, ,2
2025,2,1,, ,1
2025,3,3,1, ,
2025,4,3,3, ,
2025,5,3,2, ,
2025,6,3,3, ,
2026,1,1,, ,1
2026,2,1,, ,1
2026,3,1,, ,1
2026,4,1,, ,1
2026,5,1,, ,1
2026,6,1,, ,1
2027,1,1,, ,1
2027,2,1,, ,1
2027,3,1,, ,1
2027,4,3,1, ,
2027,5,3,3, ,
2027,6,3,1, ,
2031,1,1,, ,1
2031,2,1,, ,1
2031,3,1,, ,1
2031,4,1,, ,1
2031,5,1,, ,1
2031,6,1,, ,1
2032,1,1,, ,1
2032,2,1,, ,1
2032,3,1,, ,1
2032,4,1,, ,1
2032,5,1,, ,1
2032,6,1,, ,1
2033,1,2,, ,1
2033,2,3,1, ,
2033,3,3,2, ,
2033,4,3,1, ,
2033,5,3,2, ,
2033,6,3,1, ,
2085,1,2,, ,1
2085,2,3,1, ,
2085,3,3,1, ,
2085,4,3,1, ,
2085,5,3,1, ,
2085,6,3,1, ,
2086,1,1,, ,1
2086,2,1,, ,1
2086,3,1,, ,1
2086,4,1,, ,1
2086,5,1,, ,1
2086,6,3,1, ,
2088,1,2,, ,1
2088,2,1,, ,1
2088,3,1,, ,1
2088,4,1,, ,1
2088,5,1,, ,1
2088,6,1,, ,1
2089,1,1,, ,2
2089,2,3,3, ,
2089,3,1,, ,2
2089,4,3,2, ,
2089,5,3,3, ,
2089,6,3,3, ,
2093,1,1,, ,2
2093,2,1,, ,1
2093,3,1,, ,2
2093,4,3,2, ,
2093,5,1,, ,1
2093,6,3,3, ,
2094,,,, ,
2095,1,1,, ,1
2095,2,1,, ,1
2095,3,2,, ,1
2095,4,3,2, ,
2095,5,3,2, ,
2095,6,3,6, ,
2096,1,1,, ,5
2096,2,3,2, ,
2096,3,3,2, ,
2096,4,3,1, ,
2096,5,3,2, ,
2096,6,2,, ,5
2097,1,1,, ,5
2097,2,1,, ,5
2097,3,3,1, ,
2097,4,3,1, ,
2097,5,2,, ,1
2097,6,2,, ,5
2098,1,3,3, ,
2098,2,3,3, ,
2098,3,3,3, ,
2098,4,3,1, ,
2098,5,3,1, ,
2098,6,3,6, ,
2099,1,2,, ,5
2099,2,3,1, ,
2099,3,2,, ,5
2099,4,3,1, ,
2099,5,3,1, ,
2099,6,3,1, ,
4001,,,, ,
4002,1,1,, ,1
4002,2,1,, ,1
4002,3,2,, ,1
4002,4,1,, ,1
