HH_Id,Assets_Info,Aminity_Elec,Aminity_PipeWater,Aminity_CookGas,Aminity_Internet,Aminity_Landline,Aminity_Mobile,Aminity_PrivToilet,Aminity_RoadAcc,Aminity_StrongWalls,Aminity_ConcRoof,Aminity_ConcFloor,Aminity_Fenced,Aminity_Ownership
1168,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1169,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1170,1,0,1,0,1,0,1,1,1,0,0,0,1,1
1171,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1174,1,0,1,0,1,0,1,1,1,0,0,0,1,1
1253,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1254,1,1,1,1,0,0,0,1,1,0,0,0,1,1
1255,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1257,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1258,1,1,1,1,0,0,1,1,1,0,0,0,1,1
1259,1,1,1,1,0,0,1,1,1,0,0,0,0,1
1260,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1261,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1262,1,1,1,0,0,0,0,1,1,0,0,1,1,1
1263,1,1,1,1,0,0,0,1,1,0,0,0,0,1
1264,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1265,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1266,1,1,1,1,0,0,1,1,1,0,0,0,1,1
1267,1,1,1,0,0,0,1,1,1,0,0,1,1,1
1268,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1269,1,1,1,0,0,0,0,1,1,0,0,0,0,1
1336,1,1,1,0,0,0,1,1,1,0,0,0,0,1
1337,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1339,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1340,1,0,1,0,1,0,1,1,1,0,0,0,1,1
1341,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1342,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1416,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1418,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1420,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1421,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1424,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1425,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1430,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1431,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1433,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1453,1,1,1,0,0,0,1,1,1,0,0,0,0,1
1454,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1455,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1456,1,1,1,0,0,0,1,1,1,1,0,0,1,1
1458,1,1,1,0,0,0,1,1,1,0,0,0,0,1
1459,1,1,1,0,0,0,1,1,0,0,0,0,0,1
1460,1,0,1,0,0,0,1,1,1,0,0,0,0,1
1461,1,1,1,0,0,0,1,1,1,1,0,0,1,1
1462,1,1,1,0,0,0,1,1,1,0,0,0,0,1
1463,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1464,1,1,1,0,1,0,1,1,1,0,0,0,1,1
1465,1,1,1,0,1,0,1,1,1,0,0,0,1,1
1466,1,1,1,0,0,0,1,1,1,0,0,0,0,1
1512,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1514,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1515,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1516,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1517,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1518,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1521,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1522,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1525,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1526,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1527,1,0,1,0,1,0,1,1,1,0,0,0,1,1
1528,1,0,0,0,0,0,1,1,1,0,0,0,0,1
