HH_Id,HH_Activity_M,Activity_Part_M,Decision_maker_Actvty_M,Influence_Decision_Actvty_M,Own_Decision_Actvty_M
1944,4,1,5,3,3
1944,5,1,5,3,3
1944,6,1,5,3,2
1944,7,1,5,3,3
1945,1,1,1,3,3
1945,2,1,1,3,3
1945,3,1,1,3,3
1945,4,1,1,3,3
1945,5,1,1,3,3
1945,6,1,1,3,3
1945,7,1,1,3,3
1947,1,1,1,3,4
1947,2,2,5,2,3
1947,3,1,5,2,3
1947,4,1,5,2,3
1947,5,1,5,2,3
1947,6,2,5,2,3
1947,7,1,5,2,3
1949,1,1,2,3,3
1949,2,1,2,3,3
1949,3,1,2,3,3
1949,4,1,2,3,3
1949,5,1,2,3,3
1949,6,1,2,3,3
1949,7,1,2,3,3
1950,1,1,5,2,3
1950,2,1,5,2,3
1950,3,1,5,2,4
1950,4,0,,,
1950,5,0,,,
1950,6,0,,,
1950,7,1,5,2,2
1951,1,1,5,3,3
1951,2,1,5,3,3
1951,3,1,5,3,3
1951,4,1,5,3,3
1951,5,1,5,3,3
1951,6,1,5,3,3
1951,7,1,5,3,3
1952,1,1,1,3,3
1952,2,1,1,3,3
1952,3,1,1,3,3
1952,4,1,1,3,3
1952,5,1,1,3,3
1952,6,0,,,
1952,7,1,2,2,2
1953,1,1,2,3,3
1953,2,1,1,3,4
1953,3,1,1,3,4
1953,4,1,1,3,4
1953,5,1,1,3,4
1953,6,1,1,3,4
1953,7,1,1,3,3
1954,1,1,2,2,2
1954,2,1,2,2,2
1954,3,1,2,2,2
1954,4,1,2,2,2
1954,5,1,2,3,2
1954,6,1,2,2,2
1954,7,1,2,2,2
1955,1,1,2,3,3
1955,2,1,2,3,3
1955,3,1,2,3,3
1955,4,1,2,3,3
1955,5,1,2,3,4
1955,6,1,2,3,4
1955,7,1,2,3,4
1957,1,1,1,3,3
1957,2,1,1,3,3
1957,3,1,1,3,3
1957,4,1,1,3,3
1957,5,1,1,3,3
1957,6,1,1,3,3
1957,7,1,1,3,3
1960,1,1,5,3,3
1960,2,1,1,3,3
1960,3,1,5,3,3
1960,4,1,1,3,3
1960,5,1,1,3,3
1960,6,1,5,3,3
1960,7,1,5,3,3
1961,1,1,5,3,3
1961,2,1,5,3,3
1961,3,1,5,3,3
1961,4,1,5,3,3
1961,5,1,5,3,3
1961,6,1,5,3,3
1961,7,1,5,3,3
1962,1,1,1,3,3
1962,2,1,1,3,3
1962,3,1,1,3,3
1962,4,1,1,3,3
1962,5,1,1,3,3
1962,6,1,1,3,3
1962,7,1,1,3,3
1963,1,1,2,3,4
1963,2,1,2,3,4
1963,3,1,2,3,3
1963,4,1,2,3,4
1963,5,1,2,3,3
1963,6,1,2,3,4
1963,7,1,2,3,4
1965,,,,,
1966,,,,,
1967,1,1,2,3,4
1967,2,1,2,3,4
1967,3,1,2,3,3
1967,4,1,2,3,4
1967,5,1,2,3,3
1967,6,1,2,3,3
1967,7,1,2,3,3
1968,1,1,5,2,3
1968,2,1,5,2,3
1968,3,1,5,2,3
1968,4,1,5,2,3
1968,5,1,5,2,3
1968,6,1,5,2,3
1968,7,1,5,2,3
1969,1,1,5,2,3
1969,2,1,5,2,3
1969,3,1,5,2,3
1969,4,1,5,2,3
1969,5,1,5,2,3
1969,6,1,5,2,3
1969,7,1,5,2,3
1975,,,,,
1976,1,1,2,3,3
1976,2,1,2,3,3
1976,3,1,2,3,3
1976,4,1,2,3,3
1976,5,1,2,3,3
1976,6,1,2,3,3
1976,7,1,2,3,3
1978,1,1,5,2,3
1978,2,1,5,2,3
1978,3,1,5,2,3
1978,4,1,5,2,3
1978,5,1,5,2,3
1978,6,1,5,2,3
1978,7,1,5,2,3
1980,1,1,2,3,3
1980,2,1,2,3,4
1980,3,1,2,3,3
1980,4,1,2,3,4
1980,5,1,2,3,4
1980,6,1,2,3,4
1980,7,1,2,3,4
1991,1,1,1,3,4
1991,2,1,1,3,4
1991,3,1,1,3,4
1991,4,1,1,3,4
1991,5,1,1,3,4
1991,6,1,1,3,4
1991,7,1,1,3,4
1992,1,1,1,3,3
1992,2,1,5,3,3
1992,3,1,5,3,3
1992,4,1,5,3,3
1992,5,1,5,3,3
1992,6,1,5,3,3
1992,7,1,5,3,3
1993,1,0,,,
1993,2,1,5,3,3
1993,3,1,5,3,3
1993,4,1,5,3,3
1993,5,1,5,3,3
1993,6,1,5,3,3
1993,7,1,5,3,3
1994,1,1,1,3,4
